
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modt_m0p.wav=O19_sfotls_modt_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 5( 844) -116.370  33.541    0.0001
 0(   1) -149.911 5( 849) -116.360  33.551    0.0000
 0(   1) -149.911 5( 858) -116.322  33.589    0.0001
 0(   1) -149.911 5( 861) -116.307  33.605    0.0005
 0(   1) -149.911 5( 862) -116.300  33.611    0.0012
 0(   1) -149.911 5( 868) -116.263  33.648    0.0000
 0(   1) -149.911 5( 876) -116.222  33.689    0.0003
 0(   1) -149.911 5( 883) -116.185  33.726    0.0000
 0(   1) -149.911 5( 895) -116.129  33.782    0.0008
 0(   1) -149.911 5( 899) -116.112  33.799    0.0000
 0(   1) -149.911 5( 907) -116.080  33.831    0.0003
 0(   1) -149.911 5( 908) -116.066  33.845    0.0000
 0(   1) -149.911 5( 913) -116.042  33.870    0.0000
 0(   1) -149.911 5( 916) -116.035  33.877    0.0001
 0(   1) -149.911 5( 923) -115.999  33.913    0.0001
 0(   1) -149.911 5( 930) -115.952  33.959    0.0000
 0(   1) -149.911 5( 934) -115.927  33.984    0.0001
 0(   1) -149.911 5( 944) -115.896  34.015    0.0000
 0(   1) -149.911 5( 947) -115.880  34.031    0.0001
 0(   1) -149.911 5( 950) -115.868  34.043    0.0001
 0(   1) -149.911 5( 952) -115.858  34.053    0.0000
 0(   1) -149.911 5( 960) -115.832  34.079    0.0000
 0(   1) -149.911 5( 964) -115.805  34.106    0.0001
 0(   1) -149.911 5( 970) -115.778  34.133    0.0000
 0(   1) -149.911 5( 978) -115.739  34.172    0.0001
 0(   1) -149.911 5( 985) -115.722  34.189    0.0003
 0(   1) -149.911 5( 988) -115.708  34.204    0.0002
 0(   1) -149.911 5( 989) -115.701  34.211    0.0000
 0(   1) -149.911 5( 997) -115.651  34.260    0.0000
 0(   1) -149.911 5(1002) -115.636  34.275    0.0014
 0(   1) -149.911 5(1006) -115.624  34.288    0.0004
 0(   1) -149.911 5(1009) -115.610  34.301    0.0000
 0(   1) -149.911 5(1011) -115.601  34.310    0.0008
 0(   1) -149.911 5(1019) -115.544  34.367    0.0000
 0(   1) -149.911 5(1026) -115.532  34.379    0.0000
 0(   1) -149.911 5(1030) -115.514  34.397    0.0000
 0(   1) -149.911 5(1035) -115.493  34.418    0.0001
 0(   1) -149.911 5(1041) -115.465  34.447    0.0000
 0(   1) -149.911 5(1047) -115.440  34.472    0.0000


         n  l 2j 2tz

orbit :   1  0  1  1    n 1s_1/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 1(   3) -137.371  12.540    0.1543
 0(   1) -149.911 1(  12) -131.460  18.451    0.0090
 0(   1) -149.911 1(  18) -129.456  20.456    0.0002
 0(   1) -149.911 1(  26) -128.421  21.490    0.0003
 0(   1) -149.911 1(  31) -127.854  22.057    0.0008
 0(   1) -149.911 1(  37) -127.489  22.423    0.0003
 0(   1) -149.911 1(  40) -126.895  23.016    0.0012
 0(   1) -149.911 1(  52) -125.991  23.920    0.0003
 0(   1) -149.911 1(  56) -125.654  24.258    0.0002
 0(   1) -149.911 1(  59) -125.586  24.325    0.0000
 0(   1) -149.911 1(  74) -124.870  25.041    0.0000
 0(   1) -149.911 1(  77) -124.747  25.164    0.0000
 0(   1) -149.911 1(  84) -124.453  25.459    0.0001
 0(   1) -149.911 1(  97) -124.109  25.802    0.0000
 0(   1) -149.911 1( 104) -123.968  25.944    0.0000
 0(   1) -149.911 1( 111) -123.764  26.147    0.0000
 0(   1) -149.911 1( 123) -123.378  26.534    0.0001
 0(   1) -149.911 1( 140) -122.985  26.927    0.0000
 0(   1) -149.911 1( 144) -122.884  27.027    0.0001
 0(   1) -149.911 1( 160) -122.573  27.338    0.0001
 0(   1) -149.911 1( 161) -122.600  27.311    0.0000
 0(   1) -149.911 1( 175) -122.260  27.652    0.0001
 0(   1) -149.911 1( 185) -122.135  27.776    0.0000
 0(   1) -149.911 1( 197) -121.897  28.014    0.0001
 0(   1) -149.911 1( 198) -121.922  27.989    0.0001
 0(   1) -149.911 1( 223) -121.456  28.455    0.0000
 0(   1) -149.911 1( 230) -121.371  28.540    0.0001
 0(   1) -149.911 1( 237) -121.215  28.696    0.0000
 0(   1) -149.911 1( 254) -120.993  28.918    0.0000
 0(   1) -149.911 1( 264) -120.849  29.062    0.0002
 0(   1) -149.911 1( 272) -120.722  29.189    0.0006
 0(   1) -149.911 1( 284) -120.609  29.302    0.0001
 0(   1) -149.911 1( 289) -120.538  29.374    0.0007
 0(   1) -149.911 1( 302) -120.427  29.484    0.0000
 0(   1) -149.911 1( 316) -120.348  29.564    0.0000
 0(   1) -149.911 1( 317) -120.214  29.698    0.0001
 0(   1) -149.911 1( 333) -120.084  29.828    0.0001
 0(   1) -149.911 1( 347) -119.917  29.994    0.0000
 0(   1) -149.911 1( 352) -119.852  30.059    0.0000
 0(   1) -149.911 1( 355) -119.824  30.087    0.0000
 0(   1) -149.911 1( 363) -119.737  30.174    0.0000
 0(   1) -149.911 1( 382) -119.561  30.351    0.0000
 0(   1) -149.911 1( 385) -119.546  30.365    0.0000
 0(   1) -149.911 1( 401) -119.385  30.526    0.0000
 0(   1) -149.911 1( 407) -119.313  30.598    0.0000
 0(   1) -149.911 1( 413) -119.241  30.670    0.0000
 0(   1) -149.911 1( 417) -119.216  30.695    0.0020
 0(   1) -149.911 1( 442) -119.021  30.891    0.0002
 0(   1) -149.911 1( 453) -118.940  30.972    0.0001
 0(   1) -149.911 1( 459) -118.849  31.063    0.0001
