 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3H_900mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 MeV   2.455E-04  9.031E-08  864.43 m     33.58 m     12.44 m   
 400.00 MeV   2.344E-04  8.507E-08  968.60 m     36.74 m     13.87 m   
 450.00 MeV   2.158E-04  7.627E-08    1.19 km    48.47 m     16.92 m   
 500.00 MeV   2.007E-04  6.916E-08    1.43 km    59.32 m     20.18 m   
 550.00 MeV   1.883E-04  6.330E-08    1.69 km    69.70 m     23.63 m   
 600.00 MeV   1.779E-04  5.839E-08    1.96 km    79.83 m     27.26 m   
 650.00 MeV   1.691E-04  5.420E-08    2.25 km    89.78 m     31.06 m   
 700.00 MeV   1.615E-04  5.059E-08    2.55 km    99.60 m     35.00 m   
 800.00 MeV   1.490E-04  4.468E-08    3.20 km   135.30 m     43.30 m   
 900.00 MeV   1.394E-04  4.004E-08    3.89 km   167.41 m     52.07 m   
   1.00 GeV   1.316E-04  3.630E-08    4.63 km   197.60 m     61.25 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2319E+01                keV / (ug/cm2) 
  2.2319E+01                MeV / (mg/cm2) 
  2.2319E+04                keV / (mg/cm2) 
  2.0022E+02                 eV / (1E15 atoms/cm2)
  4.3076E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
