 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 08, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/2H_silicon.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 150.00 MeV   1.682E+00  7.154E-04   50.20 mm     2.01 mm     1.43 mm  
 160.00 MeV   1.603E+00  6.744E-04   56.28 mm     2.20 mm     1.59 mm  
 170.00 MeV   1.532E+00  6.380E-04   62.65 mm     2.39 mm     1.77 mm  
 180.00 MeV   1.468E+00  6.054E-04   69.30 mm     2.59 mm     1.95 mm  
 200.00 MeV   1.359E+00  5.497E-04   83.44 mm     3.30 mm     2.33 mm  
 225.00 MeV   1.248E+00  4.934E-04  102.61 mm     4.30 mm     2.84 mm  
 250.00 MeV   1.158E+00  4.479E-04  123.38 mm     5.24 mm     3.39 mm  
 275.00 MeV   1.083E+00  4.104E-04  145.67 mm     6.16 mm     3.97 mm  
 300.00 MeV   1.020E+00  3.788E-04  169.42 mm     7.05 mm     4.59 mm  
 325.00 MeV   9.669E-01  3.519E-04  194.55 mm     7.94 mm     5.23 mm  
 350.00 MeV   9.206E-01  3.287E-04  221.01 mm     8.82 mm     5.91 mm  
 375.00 MeV   8.803E-01  3.085E-04  248.74 mm     9.70 mm     6.61 mm  
 400.00 MeV   8.448E-01  2.907E-04  277.69 mm    10.58 mm     7.34 mm  
 450.00 MeV   7.852E-01  2.608E-04  339.00 mm    13.77 mm     8.86 mm  
 500.00 MeV   7.373E-01  2.366E-04  404.64 mm    16.70 mm    10.47 mm  
 550.00 MeV   6.979E-01  2.167E-04  474.26 mm    19.48 mm    12.15 mm  
 600.00 MeV   6.649E-01  2.000E-04  547.57 mm    22.17 mm    13.89 mm  
 650.00 MeV   6.370E-01  1.857E-04  624.30 mm    24.79 mm    15.70 mm  
 700.00 MeV   6.132E-01  1.734E-04  704.20 mm    27.35 mm    17.55 mm  
 800.00 MeV   5.744E-01  1.532E-04  872.53 mm    36.45 mm    21.38 mm  
 900.00 MeV   5.445E-01  1.374E-04    1.05 m     44.54 mm    25.35 mm  
   1.00 GeV   5.209E-01  1.246E-04    1.24 m     52.03 mm    29.42 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.3083E-03                keV / (ug/cm2) 
  4.3083E-03                MeV / (mg/cm2) 
  4.3083E+00                keV / (mg/cm2) 
  2.0093E-01                 eV / (1E15 atoms/cm2)
  6.6144E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
