 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_900mb_CF4.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   1.201E-04  2.890E-08    2.07 km    76.81 m     45.17 m   
 450.00 MeV   1.137E-04  2.591E-08    2.50 km    98.13 m     53.67 m   
 500.00 MeV   1.087E-04  2.349E-08    2.95 km   117.31 m     62.42 m   
 550.00 MeV   1.045E-04  2.150E-08    3.42 km   135.14 m     71.35 m   
 600.00 MeV   1.012E-04  1.983E-08    3.90 km   151.99 m     80.40 m   
 650.00 MeV   9.838E-05  1.840E-08    4.40 km   168.09 m     89.55 m   
 700.00 MeV   9.602E-05  1.718E-08    4.92 km   183.55 m     98.76 m   
 800.00 MeV   9.232E-05  1.517E-08    5.98 km   237.81 m    117.25 m   
 900.00 MeV   8.958E-05  1.359E-08    7.08 km   284.76 m    135.71 m   
   1.00 GeV   8.750E-05  1.232E-08    8.21 km   327.12 m    154.04 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2319E+01                keV / (ug/cm2) 
  2.2319E+01                MeV / (mg/cm2) 
  2.2319E+04                keV / (mg/cm2) 
  2.0022E+02                 eV / (1E15 atoms/cm2)
  9.8145E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
