

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 5( 433) -107.318  29.993    0.0004
 0(   1) -137.310 5( 440) -107.235  30.075    0.0000
 0(   1) -137.310 5( 443) -107.221  30.089    0.0000
 0(   1) -137.310 5( 446) -107.202  30.108    0.0001
 0(   1) -137.310 5( 451) -107.135  30.175    0.0010
 0(   1) -137.310 5( 460) -107.045  30.265    0.0009
 0(   1) -137.310 5( 464) -107.013  30.297    0.0001
 0(   1) -137.310 5( 470) -106.976  30.334    0.0011
 0(   1) -137.310 5( 474) -106.949  30.361    0.0003
 0(   1) -137.310 5( 476) -106.920  30.390    0.0007
 0(   1) -137.310 5( 484) -106.843  30.467    0.0009
 0(   1) -137.310 5( 488) -106.806  30.505    0.0002
 0(   1) -137.310 5( 491) -106.798  30.512    0.0001
 0(   1) -137.310 5( 497) -106.738  30.572    0.0000


         n  l 2j 2tz

orbit :   1  0  1  1    n 1s_1/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 1(   3) -128.294   9.016    0.2289
 0(   1) -137.310 1(  12) -122.345  14.965    0.0113
 0(   1) -137.310 1(  27) -118.935  18.375    0.0001
 0(   1) -137.310 1(  28) -118.598  18.712    0.0000
 0(   1) -137.310 1(  34) -117.002  20.308    0.0000
 0(   1) -137.310 1(  41) -115.931  21.379    0.0001
 0(   1) -137.310 1(  43) -115.742  21.568    0.0046
 0(   1) -137.310 1(  54) -114.617  22.694    0.0001
 0(   1) -137.310 1(  63) -114.295  23.015    0.0003
 0(   1) -137.310 1(  65) -114.203  23.108    0.0008
 0(   1) -137.310 1(  72) -113.876  23.434    0.0001
 0(   1) -137.310 1(  75) -113.698  23.612    0.0002
 0(   1) -137.310 1(  79) -113.335  23.975    0.0001
 0(   1) -137.310 1(  86) -113.086  24.224    0.0000
 0(   1) -137.310 1( 100) -112.617  24.693    0.0005
 0(   1) -137.310 1( 107) -112.481  24.830    0.0000
 0(   1) -137.310 1( 121) -112.041  25.269    0.0002
 0(   1) -137.310 1( 124) -111.925  25.385    0.0008
 0(   1) -137.310 1( 142) -111.462  25.848    0.0001
 0(   1) -137.310 1( 145) -111.444  25.866    0.0000
 0(   1) -137.310 1( 165) -110.989  26.321    0.0004
 0(   1) -137.310 1( 170) -110.885  26.425    0.0000
 0(   1) -137.310 1( 174) -110.831  26.479    0.0001
 0(   1) -137.310 1( 186) -110.567  26.743    0.0002
 0(   1) -137.310 1( 201) -110.302  27.008    0.0000
 0(   1) -137.310 1( 209) -110.167  27.144    0.0002
 0(   1) -137.310 1( 230) -109.782  27.528    0.0001
 0(   1) -137.310 1( 235) -109.646  27.664    0.0003
 0(   1) -137.310 1( 245) -109.512  27.798    0.0001
 0(   1) -137.310 1( 268) -109.120  28.190    0.0009
 0(   1) -137.310 1( 278) -108.987  28.324    0.0000
 0(   1) -137.310 1( 287) -108.876  28.434    0.0002
 0(   1) -137.310 1( 297) -108.768  28.542    0.0007
 0(   1) -137.310 1( 311) -108.593  28.718    0.0004
 0(   1) -137.310 1( 332) -108.322  28.989    0.0000
 0(   1) -137.310 1( 336) -108.260  29.051    0.0024
 0(   1) -137.310 1( 337) -108.266  29.045    0.0000
 0(   1) -137.310 1( 342) -108.202  29.108    0.0001
 0(   1) -137.310 1( 356) -108.042  29.269    0.0003
 0(   1) -137.310 1( 366) -107.962  29.349    0.0000
 0(   1) -137.310 1( 378) -107.847  29.464    0.0000
 0(   1) -137.310 1( 392) -107.661  29.649    0.0001
 0(   1) -137.310 1( 399) -107.605  29.705    0.0000
 0(   1) -137.310 1( 417) -107.460  29.851    0.0003
 0(   1) -137.310 1( 423) -107.391  29.919    0.0006
 0(   1) -137.310 1( 437) -107.282  30.029    0.0000
 0(   1) -137.310 1( 450) -107.125  30.185    0.0001
 0(   1) -137.310 1( 462) -107.030  30.280    0.0003
 0(   1) -137.310 1( 465) -107.006  30.304    0.0004
 0(   1) -137.310 1( 467) -106.979  30.332    0.0000
 0(   1) -137.310 1( 489) -106.806  30.505    0.0000



